Author,Title,Epub.No
"Pocock, Roger, 1865-1941",Horses,73259
"Twain, Mark, 1835-1910","The Mysterious Stranger, and Other Stories",3186
"Tocqueville, Alexis de, 1805-1859",Democracy in America — Volume 2,816
"Karpinski, Louis Charles, 1878-1956",The Hindu-Arabic Numerals,22599
"Merle d'Aubigné, J. H. (Jean Henri), 1794-1872",History of the Reformation in Europe in the Time of Calvin. Vol. 4 (of 8),60035
"Masters, Edgar Lee, 1868-1950",Spoon River Anthology,26471
"Fitzgerald, F. Scott (Francis Scott), 1896-1940",This Side of Paradise,805
"Carroll, Lewis, 1832-1898",Alice's Adventures in Wonderland,19033
"Gay, John, 1685-1732",The Beggar's Opera; to Which is Prefixed the Musick to Each Song,25063
"Nixon-Roulet, Mary F., -1930",Japanese folk stories and fairy tales,73293
"Napoleon I, Emperor of the French, 1769-1821","Napoleon's Letters to Josephine, 1796-1812For the First Time Collected and Translated, with Notes Social, Historical, and Chronological, from Contemporary Sources",37499
"Pigafetta, Antonio, 1480?-1534?","The Philippine Islands, 1493-1898, Volume 33, 1519-1522Explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commercial and religious conditions of those islands from their earliest relations with European nations to the close of the nineteenth century",42884
,Filipino Popular Tales,8299
"Milton, John, 1608-1674",Paradise Lost,20
"Xenophon, 432 BCE-351? BCE",Anabasis,1170
"Wilde, Oscar, 1854-1900",The Picture of Dorian Gray,4078
Anonymous,Ibong AdarnaCorrido at Buhay na Pinagdaanan nang tatlong Principeng Magcacapatid na Anac nang Haring Fernando at nang Reina Valeriana sa Cahariang Berbania,16157
"Schopenhauer, Arthur, 1788-1860",The World as Will and Idea (Vol. 1 of 3),38427
"Hardy, G. H. (Godfrey Harold), 1877-1947",A Course of Pure MathematicsThird Edition,38769
"Bede, the Venerable, Saint, 673-735",Bede's Ecclesiastical History of England,38326
"Virgil, 71 BCE-20 BCE",The Aeneid,228
"Defoe, Daniel, 1661?-1731","A Journal of the Plague YearBeing Observations or Memorials of the Most Remarkable Occurrences, as Well Public as Private, Which Happened in London During the Last Great Visitation in 1665. Written by a Citizen Who Continued All the While in London",376
"Collins, Wilkie, 1824-1889",The Woman in White,583
"Backus, W. Elwyn (Waldo Elwyn), 1892-1979",The waning of a world,73270
"Christie, Agatha, 1890-1976",The Murder on the Links,58866
"Merle d'Aubigné, J. H. (Jean Henri), 1794-1872","History of the Reformation in Europe in the Time of Calvin, Vol. 7 (of 8)",61913
"Montgomery, L. M. (Lucy Maud), 1874-1942",Anne of Avonlea,47
"Dewey, John, 1859-1952",Democracy and Education: An Introduction to the Philosophy of Education,852
"Brooks, David Marshall, 1902-",The Necessity of Atheism,20248
"Rachinskii, Sergei Aleksandrovich, 1836-1902",1001 задача для умственного счета,16527
"Thackeray, William Makepeace, 1811-1863",Vanity Fair,599
"Andersen, H. C. (Hans Christian), 1805-1875",Andersen's Fairy Tales,1597
"Nordenskiöld, Erland, 1877-1932",Indianerleben :  El gran Chaco (Südamerika),73205
"Crane, Stephen, 1871-1900",The Red Badge of Courage: An Episode of the American Civil War,73
"Foxe, John, 1516-1587","Fox's Book of MartyrsOr A History of the Lives, Sufferings, and TriumphantDeaths of the Primitive Protestant Martyrs",22400
"Collodi, Carlo, 1826-1890",The Adventures of Pinocchio,500
,Philippine Folk Tales,12814
United States. Office of Strategic Services,Simple Sabotage Field Manual,26184
"Pope, Alexander, 1688-1744","The Rape of the Lock, and Other Poems",9800
"Thomas, à Kempis, 1380-1471",The Imitation of Christ,1653
"Teichner, Albert",The wellsprings of space,73226
"Falkner, John Meade, 1858-1932",雲形紋章,35018
"Scott, Walter, 1771-1832",Ivanhoe: A Romance,82
"Plato, 428? BCE-348? BCE",The Republic of Plato,55201
"Carlyle, Thomas, 1795-1881","On Heroes, Hero-Worship, and the Heroic in History",1091
"Aesop, 621? BCE-565? BCE",The Aesop for ChildrenWith pictures by Milo Winter,19994
"Cicero, Marcus Tullius, 107 BCE-44 BCE","Cicero's Tusculan DisputationsAlso, Treatises On The Nature Of The Gods, And On The Commonwealth",14988
"Eliot, T. S. (Thomas Stearns), 1888-1965",The Waste Land,1321
"Reinhardt, Louise, 1866-",Spanish Tales for Beginners,36805
"Collins, Wilkie, 1824-1889",The Moonstone,155
"Keats, John, 1795-1821",Lamia,2490
"Deniker, Joseph, 1852-1918",The Races of Man: An Outline of Anthropology and Ethnography,46848
"Dickens, Charles, 1812-1870",A Christmas Carol,24022
"Bromfield, Louis, 1896-1956",Possession :  a novel,73188
"Walpole, Horace, 1717-1797",The Castle of Otranto,696
"Humboldt, Alexander von, 1769-1859",Views of nature: or Contemplations on the sublime phenomena of creationwith scientific illustrations,67684
"Doyle, Arthur Conan, 1859-1930",The Return of Sherlock Holmes,108
"Erasmus, Desiderius, 1469-1536",In Praise of FollyIllustrated with Many Curious Cuts,30201
"Tagore, Rabindranath, 1861-1941","The Hungry Stones, and Other Stories",2518
"Oman, Charles, 1860-1946","A history of the Peninsular War, Vol. 3, Sep. 1809-Dec. 1810 :  Ocaña, Cadiz, Bussaco, Torres Vedras",55231
"Cooper, James Fenimore, 1789-1851",The Spy,26272
"Doré, Gustave, 1832-1883","The Doré Bible Gallery, CompleteContaining One Hundred Superb Illustrations, and a Page of Explanatory Letter-press Facing Each",8710
"Toomer, Jean, 1894-1967",Cane,60093
"Russell, R. V. (Robert Vane), 1873-1915","The Tribes and Castes of the Central Provinces of India, Volume 1",20583
"Galsworthy, John, 1867-1933","The Forsyte Saga, Volume I.The Man Of Property",2559
"Suetonius, 69?-122?","The Lives of the Twelve Caesars, Complete",6400
"Hartley, Cecil B.",The Gentlemen's Book of Etiquette and Manual of PolitenessBeing a Complete Guide for a Gentleman's Conduct in All His Relations Towards Society,39293
"Montgomery, L. M. (Lucy Maud), 1874-1942",Anne of the Island,51
"Coleridge, Samuel Taylor, 1772-1834","Lyrical Ballads, With a Few Other Poems (1798)",9622
"Dumas, Alexandre, 1802-1870",Les trois mousquetaires,13951
"Tenniel, John, 1820-1914",The Tenniel Illustrations for Carroll's Alice in Wonderland,114
"Greenaway, Kate, 1846-1901",Language of Flowers,31591
"James, William, 1842-1910","The Will to Believe, and Other Essays in Popular Philosophy",26659
"Shaw, Bernard, 1856-1950",Mrs. Warren's Profession,1097
"Nietzsche, Friedrich Wilhelm, 1844-1900","Ecce HomoComplete Works, Volume Seventeen",52190
"Marlowe, Christopher, 1564-1593","The Works of Christopher Marlowe, Vol. 3 (of 3)",21262
"Abbott, Edwin Abbott, 1838-1926",Flatland: A Romance of Many Dimensions,201
"Baudelaire, Charles, 1821-1867",Les Fleurs du Mal,6099
"Turner, Frederick Jackson, 1861-1932",The Frontier in American History,22994
"Werner, E. T. C. (Edward Theodore Chalmers), 1864-1954",Myths and Legends of China,15250
"Gilman, Charlotte Perkins, 1860-1935",Herland,32
"Sterne, Laurence, 1713-1768","The Life and Opinions of Tristram Shandy, Gentleman",1079
"Lovecraft, H. P. (Howard Phillips), 1890-1937",The quest of Iranon,73182
"James, Henry, 1843-1916",The Beast in the Jungle,1093
"Rousseau, Jean-Jacques, 1712-1778",The Confessions of Jean Jacques Rousseau — Complete,3913
"Andersen, H. C. (Hans Christian), 1805-1875",Fairy Tales of Hans Christian Andersen,27200
"Rabelais, François, 1490?-1553?",Gargantua and Pantagruel,1200
"Farmer, Philip José, 1918-2009",Tongues of the Moon,73304
"Roget, Peter Mark, 1779-1869",Roget's Thesaurus of English Words and Phrases,10681
"Anderson, Sherwood, 1876-1941","Winesburg, Ohio: A Group of Tales of Ohio Small Town Life",416
"Masters, Edgar Lee, 1868-1950",Spoon River Anthology,1280
"Lang, Andrew, 1844-1912",The Blue Fairy Book,503
"Boutell, Charles, 1812-1877",The Handbook to English Heraldry,23186
"Lovecraft, H. P. (Howard Phillips), 1890-1937",The thing on the door-step,73230
"Curtin, Jeremiah, 1835-1906","Seneca Fiction, Legends, and MythsThirty-Second Annual Report of the Bureau of American Ethnology; 1910-1911",64176
"Dick, Philip K., 1928-1982",Second Variety,32032
"Barnum, P. T. (Phineas Taylor), 1810-1891","The Art of Money Getting; Or, Golden Rules for Making Money",8581
"Chinard, Gilbert, 1881-1972","Thomas Jefferson, the Apostle of Americanism",38073
"Barrie, J. M. (James Matthew), 1860-1937",Peter and Wendy,26654
"Nesbit, E. (Edith), 1858-1924",The Railway Children,1874
"Scott, Walter, 1771-1832",The Lady of the Lake,3011
"Nietzsche, Friedrich Wilhelm, 1844-1900",Also sprach Zarathustra: Ein Buch für Alle und Keinen,7205
"Murasaki Shikibu, 978?-",The Tale of Genji,66057
"Jacobs, W. W. (William Wymark), 1863-1943","The Monkey's PawThe Lady of the Barge and Others, Part 2.",12122
,Told in the gardens of Araby (untranslated until now),73256
"Wharton, Edith, 1862-1937",The House of Mirth,284
"Burroughs, Edgar Rice, 1875-1950",A Princess of Mars,62
"Boyd, Mary Stuart, -1937","The Fortunate Isles: Life and Travel in Majorca, Minorca and Iviza",39199
"Sanger, William W., 1819-1872","The History of Prostitution: Its Extent, Causes, and Effects throughout the World",41873
"Rousseau, Jean-Jacques, 1712-1778",The Social Contract & Discourses,46333
None,"The Bible, Douay-Rheims, CompleteThe Challoner Revision",8300
"Bunyan, John, 1628-1688","The Pilgrim's Progress from this world to that which is to comeDelivered under the similitude of a dream, by John Bunyan",131
Laozi,Dao De Jing: A Minimalist Translation,49965
"Post, Emily, 1873-1960",Etiquette,14314
"Julian, of Norwich, 1343-",Revelations of Divine Love,52958
"La Rochefoucauld, François duc de, 1613-1680",Reflections; or Sentences and Moral Maxims,9105
United States. Central Intelligence Agency,The 2010 CIA World Factbook,35830
"Wertenbaker, Thomas Jefferson, 1879-1966",Give Me Liberty: The Struggle for Self-Government in Virginia,34455
"Mackay, Charles, 1814-1889",Memoirs of Extraordinary Popular Delusions and the Madness of Crowds,24518
Vitruvius Pollio,The Ten Books on Architecture,20239
"Dutton, Charles J. (Charles Judson), 1888-1964",The crooked cross,73254
None,"The Story of Beowulf, Translated from Anglo-Saxon into Modern English Prose",50742
"Hugo, Victor, 1802-1885",Notre-Dame de Paris - Tome 1,70891
"Casey, John, 1820-1891",The First Six Books of the Elements of Euclid,21076
"Chesterton, G. K. (Gilbert Keith), 1874-1936",The Man Who Was Thursday: A Nightmare,1695
"Lovecraft, H. P. (Howard Phillips), 1890-1937",The haunter of the dark,73233
"Speed, Harold, 1873-1957",The Practice and Science of Drawing,14264
"Jonson, Ben, 1573?-1637",The Alchemist,4081
"Grose, Francis, 1731?-1791",1811 Dictionary of the Vulgar Tongue,5402
"Dumas, Alexandre, 1802-1870","Le comte de Monte-Cristo, Tome I",17989
"Tolstoy, Leo, graf, 1828-1910","What Men Live By, and Other Tales",6157
"Barrows, David P., 1873-1954",A History of the Philippines,38269
"Long, Frank Belknap, 1903-1994",Mr. Caxton draws a Martian bird,73326
"Durkheim, Émile, 1858-1917",The Elementary Forms of the Religious Life,41360
"Gowen, Vincent H. (Vincent Herbert), 1893-1984",Sun and moon,73324
"Lovecraft, H. P. (Howard Phillips), 1890-1937",The shadow over Innsmouth,73181
"Camões, Luís de, 1524?-1580",Os Lusíadas,3333
"Fox-Davies, Arthur Charles, 1871-1928",A Complete Guide to Heraldry,41617
"Hamilton, Alexander, 1757-1804",The Federalist Papers,1404
"Babbage, Charles, 1791-1871",Passages from the Life of a Philosopher,57532
"Three Initiates, 1862-1932",The KybalionA Study of The Hermetic Philosophy of Ancient Egypt and Greece,14209
"Poe, Edgar Allan, 1809-1849",The Masque of the Red Death,1064
"Cooper, James Fenimore, 1789-1851",The Last of the Mohicans; A narrative of 1757,940
"Christie, Agatha, 1890-1976",The mystery of the Blue Train,72824
"Morgan, Lewis Henry, 1818-1881","Ancient SocietyOr, Researches in the Lines of Human Progress from Savagery, through Barbarism to Civilization",45950
"Stevenson, Robert Louis, 1850-1894",Kidnapped,421
"Darwin, Charles, 1809-1882","The Origin of Species by Means of Natural SelectionOr, the Preservation of Favoured Races in the Struggle for Life, 6th Edition",2009
"Culpeper, Nicholas, 1616-1654","The Complete HerbalTo which is now added, upwards of one hundred additional herbs, with a display of their medicinal and occult qualities physically applied to the cure of all disorders incident to mankind: to which are now first annexed, the English physician enlarged, and key to Physic.",49513
"Twain, Mark, 1835-1910",Roughing It,3177
"Muller, Samuel, 1848-1922",Geschiedenis der Noordsche Compagnie,41287
"Galsworthy, John, 1867-1933",Justice,2911
"Franklin, Benjamin, 1706-1790","Benjamin Franklin :  Representative selections, with introduction, bibliograpy, and notes",35508
"Rizal, José, 1861-1896",Rizal's own story of his life,48438
"Cieza de León, Pedro de, 1518-1554","The travels of Pedro de Cieza de Léon, A.D. 1532-50,contained in the first part of his Chronicle of Peru",48770
"Stopes, C. C. (Charlotte Carmichael), 1840-1929",Shakespeare's family,26315
"Doyle, Arthur Conan, 1859-1930",The Valley of Fear,3289
"Mill, John Stuart, 1806-1873",Utilitarianism,11224
"Eliot, George, 1819-1880",The Mill on the Floss,6688
"Aesop, 621? BCE-565? BCE",Aesop's FablesTranslated by George Fyler Townsend,21
"Hamilton, A. (Angus), 1874-1913",Afghanistan,73258
"Eliot, George, 1819-1880",Silas Marner,550
"Baum, L. Frank (Lyman Frank), 1856-1919",Dorothy and the Wizard in Oz,22566
"Allen, James, 1864-1912",As a Man Thinketh,4507
None,"Thet Oera Linda Bok, Naar een Handschrift uit de Dertiende Eeuw",30467
"Yogananda, Paramahansa, 1893-1952",Autobiography of a Yogi,7452
"Warden, Florence, 1857-1929",The mill house mystery,73223
"Defoe, Daniel, 1661?-1731","A General History of the Pyrates:from their first rise and settlement in the island of Providence, to the present time",40580
"Gillette, F. L. (Fanny Lemira), 1828-1926","The Whitehouse Cookbook (1887)Cooking, Toilet and Household Recipes, Menus, Dinner-Giving, Table Etiquette, Care of the Sick, Health Suggestions, Facts Worth Knowing, Etc., Etc.The Whole Comprising a Comprehensive Cyclopedia of Information for the Home",13923
"Von Arnim, Elizabeth, 1866-1941",Love,73308
"Graves, Kersey, 1813-1883","The World's Sixteen Crucified Saviors; Or, Christianity Before Christ",38600
"Orczy, Emmuska Orczy, Baroness, 1865-1947",The Scarlet Pimpernel,60
"Patmore, Coventry, 1823-1896",The Angel in the House,4099
"Mahan, A. T. (Alfred Thayer), 1840-1914","The Influence of Sea Power Upon History, 1660-1783",13529
"Wilde, Oscar, 1854-1900",Lady Windermere's Fan,790
"Austen, Jane, 1775-1817",Pride and Prejudice,42671
"Shakespeare, William, 1564-1616","Twelfth Night; Or, What You Will",1526
"Nietzsche, Friedrich Wilhelm, 1844-1900","Human, All Too Human: A Book for Free Spirits",38145
"Shaw, Bernard, 1856-1950",Arms and the Man,3618
"Perrault, Charles, 1628-1703",The Fairy Tales of Charles Perrault,29021
"Shakespeare, William, 1564-1616",Shakespeare's Sonnets,1041
"Apollonius, Rhodius",The Argonautica,830
Anonymous,El libro de las mil noches y una noche; t. 1,47287
"Knox, Ronald Arbuthnott, 1888-1957",The three taps :  A detective story without a moral,73198
"Farmer, Philip José, 1918-2009",The celestial blueprint,73314
"Smith, Evelyn E., 1922-2000",Woman's touch,73385
"Knowles, James, Sir, 1831-1908",The Legends of King Arthur and His Knights,12753
"Upward, Allen, 1863-1926",A crown of straw,73325
"Freud, Sigmund, 1856-1939",The Interpretation of Dreams,66048
"Du Bois, W. E. B. (William Edward Burghardt), 1868-1963",Darkwater: Voices from Within the Veil,15210
"Wittenmyer, Annie, 1827-1900",Under the guns :  A woman's reminiscences of the Civil War,73190
"Lovecraft, H. P. (Howard Phillips), 1890-1937",The trap,73243
"Cao, Xueqin, 1717?-1763",紅樓夢,24264
"Stevenson, Robert Louis, 1850-1894",A Child's Garden of Verses,25609
"Walton, O. F., Mrs., 1849-1939",Taken or left,73331
"Kant, Immanuel, 1724-1804",Fundamental Principles of the Metaphysic of Morals,5682
"Geikie, Archibald, 1835-1924",The birds of Shakespeare,73281
"Aesop, 621? BCE-565? BCE",Aesop's Fables - Volume 01,19616
"Wilde, Oscar, 1854-1900",An Ideal Husband,885
"Homer, 751? BCE-651? BCE",The Iliad of HomerTranslated into English Blank Verse by William Cowper,16452
"Sayers, Dorothy L. (Dorothy Leigh), 1893-1957",Lord Peter views the body,73295
"Grahame, Kenneth, 1859-1932",The Wind in the Willows,27805
"Dickens, Charles, 1812-1870",A Christmas Carol,19337
"Brontë, Charlotte, 1816-1855",Villette,9182
,Kalevala : the Epic Poem of Finland — Complete,5186
"James, Henry, 1843-1916",Daisy Miller: A Study,208
"Plato, 428? BCE-348? BCE",Timaeus,1572
"Lang, Andrew, 1844-1912",The Arabian Nights Entertainments,128
"Hahn, George R., 1923-1991",Gangway for Homer,73220
Procopius,"History of the Wars, Books III and IV: The Vandalic War",16765
"Poe, Edgar Allan, 1809-1849",The Cask of Amontillado,1063
"Maugham, W. Somerset (William Somerset), 1874-1965",The Moon and Sixpence,222
Diogenes [pseudonym],Life in a tub; with a description of the Turkish bath,73251
"Gogol, Nikolai Vasilevich, 1809-1852",Dead Souls,1081
"Heintze, Albert, 1831-1906","Die Deutschen Familiennamen, geschichtlich, geographisch, sprachlich",58804
"Tolstoy, Leo, graf, 1828-1910",What Is Art?,64908
"Bianco, Margery Williams, 1881-1944",The Velveteen Rabbit,11757
"D'Ooge, Benjamin L. (Benjamin Leonard), 1860-1940",Latin for Beginners,18251
"Cervantes Saavedra, Miguel de, 1547-1616","The History of Don Quixote, Volume 1, Complete",5921
"Pérez Galdós, Benito, 1843-1920",Doña Perfecta,15725
"Beston, Henry, 1888-1968",The outermost house :  A year of life on the great beach of Cape Cod,73328
"Shakespeare, William, 1564-1616",The Merchant of Venice,1515
"Van Loan, Charles E. (Charles Emmett), 1876-1919",Old Man Curry: Race Track Stories,29093
"Mooney, James, 1861-1921",Myths of the CherokeeExtract from the Nineteenth Annual Report of the Bureau of American Ethnology,45634
"Sacher-Masoch, Leopold, Ritter von, 1835-1895",Venus in Furs,6852
"Russell, E. S. (Edward Stuart), 1887-1954",Form and Function: A Contribution to the History of Animal Morphology,20426
"Wilde, Oscar, 1854-1900",Salomé: A Tragedy in One Act,42704
"Plutarch, 46-120?","Plutarch's Lives, Volume 1 (of 4)",14033
"Magnay, William, Sir, 1855-1917",A prince of lovers :  A romance,73269
"Fournier d'Albe, E. E. (Edmund Edward), 1868-1933","Hephæstus; or, The soul of the machine",73186
,Project Gutenberg DVD: The July 2006 Special,19159
"Miller, Warren H. (Warren Hastings), 1876-1960",Red Mesa :  A tale of the southwest,73274
"Spyri, Johanna, 1827-1901",A little Swiss boy,73300
"Twain, Mark, 1835-1910","Eve's Diary, Complete",8525
"Capablanca, José Raúl, 1888-1942",Chess Fundamentals,33870
"Lawrence, of the Resurrection, Brother, 1611-1691",The Practice of the Presence of God,5657
"Cheiro, 1866-1936",Palmistry for All,20480
"Lawrence, D. H. (David Herbert), 1885-1930",Lady Chatterley's lover,73144
"Scott, S. P. (Samuel Parsons), 1846-1929","History of the Moorish Empire in Europe, Vol. 1 (of 3)",73203
"Hume, David, 1711-1776",An Enquiry Concerning the Principles of Morals,4320
"Rhoades, Nina, 1863-1940",Four girls of forty years ago,73301
"Rhodes, Eugene Manlove, 1869-1934","Good men and true, and Hit the line hard",73330
"Saleeby, Najeeb M. (Najeeb Mitry), 1870-",The History of Sulu,41771
"Luther, Martin, 1483-1546",Commentary on the Epistle to the Galatians,1549
"Newton, Isaac, 1642-1727",Philosophiae Naturalis Principia Mathematica,28233
"Kleiser, Grenville, 1868-1953",Fifteen Thousand Useful Phrases,26225
,The Anglo-Saxon Chronicle,657
"Schopenhauer, Arthur, 1788-1860",Essays of Schopenhauer,11945
"Burroughs, Edgar Rice, 1875-1950",Tarzan of the Apes,78
"Newton, Isaac, 1642-1727","The Chronology of Ancient Kingdoms AmendedTo which is Prefix'd, A Short Chronicle from the First Memory of Things in Europe, to the Conquest of Persia by Alexander the Great",15784
"Thorne, Eglanton, 1852-1907",Worthy of his name,73340
"Müller, F. Max (Friedrich Max), 1823-1900",India: What can it teach us?A Course of Lectures Delivered before the University Of Cambridge,20847
"Porter, Eleanor H. (Eleanor Hodgman), 1868-1920",Pollyanna,1450
,Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.),14568
"A. L. O. E., 1821-1893","The battle of life :  or, What is a Christian",73275
"MacDonald, George, 1824-1905",The Princess and the Goblin,708
"Carroll, Lewis, 1832-1898",Alice's Adventures in WonderlandIllustrated by Arthur Rackham. With a Proem by Austin Dobson,28885
"Twain, Mark, 1835-1910",Extract from Captain Stormfield's Visit to Heaven,1044
"Calderón, Sofronio G., 1878-1954?",Diccionario Ingles-Español-TagalogCon partes de la oracion y pronunciacion figurada,20738
"Pyle, Howard, 1853-1911",The Merry Adventures of Robin Hood,10148
"Díaz del Castillo, Bernal, 1496-1584","The Memoirs of the Conquistador Bernal Diaz del Castillo, Vol 1 (of 2)Written by Himself Containing a True and Full Account of the Discovery and Conquest of Mexico and New Spain.",32474
"Wells, H. G. (Herbert George), 1866-1946",A Short History of the World,35461
"Chesterton, G. K. (Gilbert Keith), 1874-1936",The innocence of Father Brown,204
"Keller, Helen, 1880-1968","The Story of My LifeWith her letters (1887-1901) and a supplementary account of her education, including passages from the reports and letters of her teacher, Anne Mansfield Sullivan, by John Albert Macy",2397
,"Les mille et une nuits, tome premier",26296
"Day, Lal Behari, 1826-1894",Folk-Tales of Bengal,38488
"Lea, Henry Charles, 1825-1909",A History of the Inquisition of the Middle Ages; volume I,39451
"Cheyne, T. K. (Thomas Kelly), 1841-1915","Job and Solomon: Or, The Wisdom of the Old Testament",65866
"Chaucer, Geoffrey, 1343?-1400","The Canterbury Tales, and Other Poems",2383
"Christie, Agatha, 1890-1976",The Secret Adversary,1155
,The King's Mirror (Speculum regale-Konungs skuggsjá),61264
"Doyle, Arthur Conan, 1859-1930",Adventures of Sherlock HolmesIllustrated,48320
"Nesbit, E. (Edith), 1858-1924",Beautiful Stories from Shakespeare,1430
Procopius,"History of the Wars, Books V and VI: The Gothic War",20298
"Ross, E. Denison (Edward Denison), Sir, 1871-1940",The heart of Asia :  A history of Russian Turkestan and the Central Asian Khanates from the earliest times,57750
"Plato, 428? BCE-348? BCE",Apology,1656
Various,Webster's Unabridged Dictionary,29765
"Brinton, Daniel G. (Daniel Garrison), 1837-1899",Nagualism: A Study in Native American Folk-lore and History,26426
"Remy, Alfred, 1870-1937",A First Spanish Reader,15353
"Quiroga, Horacio, 1878-1937",Cuentos de Amor de Locura y de Muerte,13507
"Huneker, James, 1857-1921",Franz Liszt,39754
"Lee, Stanley R., -1997",The Great Implication,73231
"Twain, Mark, 1835-1910",The Tragedy of Pudd'nhead Wilson,102
"Leblanc, Maurice, 1864-1941","Arsène Lupin, gentleman-cambrioleur",32854
"Hugo, Victor, 1802-1885",Poems,8775
"Baudin, Maurice, 1892-",Hystereo,73296
"Mille, Pierre, 1864-1941",Trois femmes,70954
"Bunyan, John, 1628-1688",The Pilgrim's Progress by John Bunyan Every Child Can Read,39452
